edt_mean,sedt_mean,sedtP_mean,sedtGPU_mean,cdt_mean,edt_std,sedt_std,sedtP_std,sedtGPU_std,cdt_std
361.6796603773586,705.723654822335,19565.06,202814.23,23.97799398194584,1382.3973795539039,2289.4047977964215,17830.48490130264,305863.35785097687,10.408351910143226
749131.5484363082,970112.3349753695,413153.03,758798.7459359034,8.490280749574106e6,600169.995861866,933107.5922637276,833340.2502628139,2.324868602461578e6,2.7259478461292144e6
2.9391563388625593e6,4.0333005691056913e6,1.5205640445958502e6,1.6840547368421052e6,3.721769411764706e7,833288.027632675,2.0887792971602825e6,1.8623515968084377e6,4.211725687017402e6,9.872451778858738e6
7.048591501416431e6,7.805342006269593e6,3.150225270528326e6,2.927100471420153e6,7.789840153846154e7,1.6439144082432636e6,1.8876697404227634e6,406106.2166186087,6.38627714660079e6,1.0887393579725193e7
1.2018379036144579e7,1.372625989010989e7,5.384169197396963e6,4.298176055124892e6,1.3401451315789473e8,2.1197251800199626e6,2.7645048178106076e6,389245.26141550613,1.0132717505927328e7,1.0969542197601382e7
1.869956741573034e7,2.3236692558139537e7,9.003264195298372e6,6.814211972789115e6,2.099180375e8,2.675898231419072e6,5.186252489802414e6,672442.1255080097,1.423471428980542e7,1.6022605065447852e7
2.740938087431694e7,3.5851546428571425e7,1.3438873315363882e7,7.958865605095541e6,2.6642605263157895e8,3.435121272315043e6,7.5287021403838415e6,845363.8250910032,1.7031946279399935e7,9.347381726176256e6
3.430451095890411e7,4.284701623931624e7,1.2407957320099255e7,8.380256375838926e6,3.796036285714286e8,4.26157746435597e6,5.615017258747039e6,2.9248059791610255e6,1.6935423076000664e7,3.883322831534134e7
4.562250727272727e7,5.992784761904762e7,2.0546242213114753e7,1.0116514604462475e7,6.112650333333334e8,5.157769697977781e6,7.054098779415646e6,3.9126506950587924e6,1.9840431281129178e7,8.943855972200972e7
5.432858152173913e7,7.73769676923077e7,2.1561842672413792e7,1.1512489861751152e7,7.557383428571428e8,4.597593330197287e6,7.881769177766889e6,3.064184793863083e6,2.2862904229821187e7,6.884989571783091e7
