hd_mean,dice_mean,hdGPU_mean,diceGPU_mean,hd_std,dice_std,hdGPU_std,diceGPU_std
208.51126394052045,330.9538476190476,191662.57,450900.08,427.08512456722394,882.4098047020733,3.325336162418667e6,6.678732234247887e6
41083.92,48549.24,321358.96,875722.3214285715,146207.50414004142,270284.6238897313,4.9561649501691405e6,1.361347077243991e7
217053.48,243037.71,312908.58,808813.2773938796,424988.18065124936,623451.120192179,5.701749746155923e6,1.0210050498305546e7
465376.01,622111.366522733,330576.13,862852.4461512774,583168.0599502125,976135.2795123413,5.690597669999117e6,8.110906884246831e6
711232.9671917907,1.1841607496977025e6,1.2461334577114427e7,905461.269549218,651096.0306306178,1.3907990505699236e6,2.7088365120197483e6,5.524077232756542e6
1.2383372484909457e6,1.714353120665742e6,391207.52,8.940255357142856e6,950386.4702059714,1.545829386673287e6,4.298102080349278e6,1.7656506363320224e7
1.700499104991394e6,2.1337274805867127e6,412335.22,1.1511876052385408e6,1.2138864881507254e6,1.9290090807154668e6,3.1290020451072534e6,4.406067294083925e6
2.107656345826235e6,3.239084640522876e6,455411.13,1.256451361669636e6,1.3606213237819178e6,2.5905539286200902e6,2.69929258750444e6,3.506890788948207e6
2.7267453494771603e6,4.0965298100743187e6,1.605041575562701e7,1.4064860028449502e6,1.5729999141177784e6,2.789731844697127e6,4.0541688807117552e6,3.0790723291886877e6
3.3013253493013973e6,4.925650842418236e6,643208.7784241142,4.86768854368932e7,1.6472110135049825e6,2.9555427582014995e6,2.5703643660096605e6,8.3234337824756205e6
