edt_mean,sedt_mean,sedtP_mean,cdt_mean,edt_std,sedt_std,sedtP_std,cdt_std
198.91351256345175,345.61213048327147,18729.1939,46.67233037336025,397.56451275579536,634.6965329791251,10610.739688795364,116.1986077638295
3.92730855625e7,6.1509300780487806e7,2.514055465829146e7,1.0096910167676767e7,928491.8572994414,6.167843353300875e6,1.6436892277810914e7,279682.75618082896
2.1454336283333334e8,2.3639467613636363e8,1.1252448891111112e8,4.2545823118644066e7,4.571103953311409e6,3.7967076580358446e6,3.2652118466106225e7,677017.778961795
5.237892666e8,5.926024445555556e8,2.45436121e8,9.204020836363636e7,3.0846938938324925e7,3.0927219018683832e7,8.57139591674469e7,1.4879757151125043e6
1.059826175e9,1.3690099836e9,9.755491724285715e8,2.344269829090909e8,3.869433909188713e7,3.8874398256040084e8,9.457214978237132e8,4.476643949324507e7
1.884350583e9,1.5085295315e9,8.982942846666666e8,2.821089907777778e8,1.136245744731279e8,3.6992924392869145e7,9.666094290233376e8,6.068154596656429e7
2.5339310416666665e9,1.9707885416666667e9,7.910119344285715e8,4.190979689166667e8,2.5951458427698475e8,1.0553593936723983e8,1.2923966047439696e8,2.8428624524017e7
3.4458374375e9,2.8335751045e9,1.31855219775e9,6.84803994625e8,2.7323522364725935e8,3.060696923834244e7,7.349870369843327e7,6.160559102013102e7
5.051653334e9,3.7303788335e9,2.9496606875e9,7.98292155e8,NaN,2.5532146813392025e8,1.331415689325185e9,6.4396609088522226e7
5.69596625e9,6.484450375e9,2.2190454026666665e9,1.0098485334e9,NaN,NaN,1.9851676950461116e8,6.276348015075716e7
