hd_mean_cpu_python,hd_mean_cpu_julia,hd_mean_gpu_python,hd_mean_gpu_julia,dice_mean_cpu_python,dice_mean_cpu_julia,dice_mean_gpu_python,dice_mean_gpu_julia,edt_mean_cpu_python,edt_mean_cpu_julia,sedt_mean_cpu_julia,sedtP_mean_cpu_julia,sedtGPU_mean_gpu_julia,hd_std_cpu_python,hd_std_cpu_julia,hd_std_gpu_python,hd_std_gpu_julia,dice_std_cpu_python,dice_std_cpu_julia,dice_std_gpu_python,dice_std_gpu_julia,edt_std_cpu_python,edt_std_cpu_julia,sedt_std_cpu_julia,sedtP_std_cpu_julia,sedtGPU_std_gpu_julia
52441.42,116.59029227557413,139296.41,126369.88,63986.74,213.37307958477513,207768.89,218428.34,50428.34,214.16271356783923,617.8179274611399,122599.72,132881.81,149405.44512529307,269.0803905646111,158716.37547177085,373958.1834310905,147085.64055249596,533.0972492750586,17170.35408120133,1.0837232498747457e6,169325.49360070578,565.3308954168727,1813.2231320860978,323739.8827625209,245981.63087595935
122871.34,17039.54,138570.51,98509.34,99857.71,52876.41,207203.87,275913.52,692490.004176528,344825.08,588822.5375428639,215606.53,275905.51,7132.357089782143,125229.67621841478,11119.736156632462,236779.39607365534,7717.8057120143185,310941.68266656325,10691.981381843447,1.2485631872302087e6,612594.6039252438,292474.2571237709,751295.4860575355,954772.5854931953,1.14804890294229e6
260777.94,64100.45,137615.88,104070.71,185659.36,197341.81,209212.83,288379.74,2.5486279877425944e6,1.3269820212765958e6,2.2550306371441483e6,378872.98,662012.8856382979,36906.113388935264,219327.7502848238,7179.9687339641005,411222.2404858506,157051.58585780818,522448.74414812215,12370.39462011644,1.1315438784229318e6,833549.6971151093,455468.037046056,1.358206327365493e6,1.3442085733772097e6,2.521546880193719e6
379445.44,155279.59,139647.35,89638.59,221112.91,557969.1644265233,210894.17,343288.24,5.84276865497076e6,2.941134098939929e6,4.663751260504202e6,566258.619901748,1.2263616593028964e6,154051.18361740603,309093.7603279938,8366.582154452004,240188.27543112374,165590.00606118294,978542.7436920296,22002.04840519405,1.2165359322014023e6,1.2095707412948888e6,715268.977998665,1.4270906135118552e6,2.0830697496292337e6,3.7727628012483735e6
1.8722937593984962e6,298434.55,148987.88,82003.34,467771.09,652865.6955380577,236043.93,337780.1,1.0791760259179266e7,5.293094173728813e6,8.291751827242525e6,825276.8387846588,2.0221265289590927e6,208090.0007215703,487803.98357940564,9145.431263581817,218887.92167470074,54993.82886591215,1.132272518482811e6,10031.488435477713,951077.37098122,1.1477440434723848e6,1.1513872577018803e6,1.7992066564879087e6,2.2657908580473606e6,4.883634844384561e6
2.7914457703081234e6,458517.81,147938.23,84169.84,622684.0537823574,945806.138350437,235637.64,309070.62,1.6494522112211222e7,8.295412126245847e6,1.3271319893899204e7,1.1469647845125606e6,2.972634663490173e6,240244.21600593883,653659.806321334,8165.556998711715,224273.8195844301,177051.49935955074,1.2520511476401892e6,10701.272024983538,802519.5953513578,1.4121808668632344e6,1.2793412830716874e6,2.8843000935737165e6,3.1895557059141234e6,5.848817596956565e6
3.8963225e6,467340.71,149557.61,83384.6,2.149057629310345e6,1.3648214991762768e6,236579.96,326789.19,2.3531657746478874e7,1.217328102189781e7,1.8724572284644194e7,1.5750734661606578e6,4.069749470252649e6,327156.7853470147,614155.8416472803,154746.0422106034,475049.6162219559,165562.86764073503,1.572002119098983e6,10461.530517112495,959158.6254301309,1.3541503103138881e6,1.488726367666434e6,2.5796121032315586e6,3.3226676388985896e6,6.613529731594997e6
5.246245320715037e6,631617.3050006363,147760.58,79510.37,2.8878803126809495e6,1.8190760980966324e6,238719.23,299491.6,3.1738708860759493e7,1.6581682781456953e7,2.5232733333333332e7,2.0417591151167555e6,4.797929078694818e6,370988.30598207493,739944.8060977769,7644.1309079145,424005.6166747796,173060.33009007902,1.6995344918977679e6,10415.234847030186,1.1340611312924842e6,1.4390193565258316e6,1.6997723180251122e6,2.5836349520160905e6,58575.65263690719,7.080510695405461e6
6.373259003831417e6,822562.1043910522,167044.94,93632.69,3.4650555555555555e6,2.43745859030837e6,236671.07,300797.29,4.161701157024793e7,2.1829740174672488e7,3.2738067320261437e7,2.6749709227467813e6,5.563646111111111e6,527241.156058566,796971.0560866393,565174.1680671731,660549.6873705357,236753.2683184223,1.9078993902993863e6,9581.839448656088,1.2475188087109006e6,1.7596409741379104e6,2.003084366441082e6,2.7201842489074073e6,76425.25452883734,7.364195148464483e6
7.456782361733931e6,1.0416092130115425e6,210755.31,108672.15,3.9324103312302837e6,3.253630789302022e6,235383.72,290780.14,5.295502315789474e7,2.7759867777777776e7,4.133262892561983e7,3.2876901779828607e6,6.213790807453416e6,608485.0747679616,883280.0122682123,877178.4515076636,870323.2630716024,298953.09007738985,2.137467964331223e6,10253.575110265405,643712.7125086196,2.0254026555521204e6,2.1469330039702994e6,2.677780365073469e6,102502.94790680762,7.476166695512781e6
