,dt_mean_cpu_purePython,dt_std_cpu_purePython,dt_mean_gpu_purePython,dt_std_gpu_purePython
0,2.5007726435433142e-05,4.331465606810525e-05,8.101677667582408e-05,5.603806130238809e-05
1,0.0006131365662440658,8.206095662899315e-05,0.0006991634727455676,8.544310549041256e-05
2,0.002293031895533204,0.00010651282354956493,0.0024484789464622736,0.00011181129229953513
3,0.00524567486718297,0.0002019647799897939,0.005681004375219345,0.0001284301542909816
4,0.010346596129238605,0.00018667062977328897,0.011344914324581623,0.00023450197477359325
5,0.015966694802045822,0.00023153114307206124,0.017043843865394592,0.0002442261320538819
6,0.023241400718688965,0.00025142423692159355,0.0242865402251482,0.00019829078519251198
7,0.03129594027996063,0.0002052472991636023,0.03299554064869881,0.0001950656733242795
8,0.04116776958107948,0.00020164955640211701,0.043709076941013336,0.00041272002272307873
9,0.05254267528653145,0.0004380609025247395,0.05501869320869446,0.0002297501778230071
