,dt_mean,dt_GPU_mean,dt_std,dt_GPU_std
0,5.746269744122401e-05,6.825304444646463e-05,4.498381167650223e-05,1.1782061847043224e-05
1,0.0009341278928332031,0.0008569743949919939,0.0002730459382291883,7.098291098373011e-05
2,0.0030146329663693905,0.0034810476936399937,0.00018083237227983773,0.00013440349721349776
3,0.006780304480344057,0.007378984242677689,0.00033136445563286543,0.0002150790096493438
4,0.01233561523258686,0.012758147902786732,0.00033475388772785664,0.00036643361090682447
5,0.019121786579489708,0.021332312375307083,0.0007154404884204268,0.0006619065534323454
6,0.027148062363266945,0.031113725155591965,0.0011044980492442846,0.0009534014970995486
7,0.03786491975188255,0.04069150611758232,0.0017162887379527092,0.0011690331157296896
8,0.048713136464357376,0.05386190861463547,0.001957088941708207,0.0022381420712918043
9,0.06385187804698944,0.06827777624130249,0.002142219105735421,0.002377642784267664
